datetime,event,open,high,low,close,exep,comm
2022-01-02 01:00:00,SELL,47625.29,47641.83,47425.65,47442.34,47625.29,476.2529
2022-01-02 01:15:00,BUY,47442.34,47504.92,47412.89,47455.23,47442.34,474.42339999999996
2022-01-02 01:30:00,SELL,47455.22,47485.23,47315.53,47388.64,47455.22,474.5522
2022-01-02 01:45:00,BUY,47388.64,47404.17,47315.38,47377.97,47388.64,473.8864
2022-01-02 02:00:00,SELL,47377.97,47438.08,47325.81,47436.78,47377.97,473.77970000000005
2022-01-02 05:15:00,SELL,46882.49,46964.58,46850.0,46945.27,46882.49,468.8249
2022-01-01 16:15:00,BUY,47428.34,47527.24,47342.42,47480.45,47428.34,474.2834
2022-01-01 16:30:00,SELL,47480.46,47497.19,47375.65,47421.77,47480.46,474.8046
2022-01-01 16:45:00,BUY,47421.78,47476.99,47253.4,47268.62,47421.78,474.2178
2022-01-01 17:00:00,SELL,47268.61,47369.0,47238.81,47246.04,47268.61,472.6861
2022-01-01 17:15:00,BUY,47246.04,47350.0,47241.28,47330.45,47246.04,472.4604
2022-01-01 17:30:00,SELL,47330.45,47900.0,47325.71,47846.04,47330.45,473.30449999999996
2022-01-01 17:45:00,BUY,47846.03,47954.63,47672.01,47754.48,47846.03,478.4603
2022-01-01 18:00:00,SELL,47754.47,47844.97,47660.85,47742.16,47754.47,477.54470000000003
2022-01-01 18:15:00,BUY,47742.16,47780.74,47601.01,47637.43,47742.16,477.42160000000007
2022-01-01 18:30:00,SELL,47637.43,47658.64,47420.0,47468.81,47637.43,476.3743
2022-01-01 18:45:00,BUY,47468.81,47628.39,47430.0,47560.55,47468.81,474.68809999999996
2022-01-01 19:00:00,SELL,47560.54,47611.84,47489.76,47508.6,47560.54,475.60540000000003
2022-01-01 19:15:00,BUY,47508.61,47508.61,47338.53,47388.85,47508.61,475.0861
2022-01-01 19:30:00,SELL,47388.84,47414.27,47300.0,47321.34,47388.84,473.8884
2022-01-01 19:45:00,BUY,47321.34,47355.79,47292.72,47329.78,47321.34,473.2134
2022-01-01 20:00:00,SELL,47329.79,47358.21,47301.01,47322.14,47329.79,473.2979
2022-01-01 23:15:00,BUY,47334.33,47488.0,47328.24,47428.83,47334.33,473.3433
2022-01-01 23:30:00,SELL,47428.91,47585.93,47370.58,47498.17,47428.91,474.2891
2022-01-01 23:45:00,BUY,47498.17,47814.0,47492.69,47722.65,47498.17,474.9817
2022-01-02 00:00:00,SELL,47722.66,47750.0,47463.63,47517.62,47722.66,477.2266
2022-01-02 00:15:00,BUY,47517.63,47578.79,47381.12,47544.7,47517.63,475.17629999999997
2022-01-02 00:30:00,SELL,47544.7,47699.39,47491.43,47638.95,47544.7,475.447
2022-01-02 00:45:00,BUY,47641.55,47700.0,47575.69,47625.3,47641.55,476.41550000000007
2022-01-02 01:00:00,SELL,47625.29,47641.83,47425.65,47442.34,47625.29,476.2529
2022-01-02 01:15:00,BUY,47442.34,47504.92,47412.89,47455.23,47442.34,474.42339999999996
2022-01-02 01:30:00,SELL,47455.22,47485.23,47315.53,47388.64,47455.22,474.5522
2022-01-02 01:45:00,BUY,47388.64,47404.17,47315.38,47377.97,47388.64,473.8864
2022-01-02 02:00:00,SELL,47377.97,47438.08,47325.81,47436.78,47377.97,473.77970000000005
2022-01-02 05:15:00,SELL,46882.49,46964.58,46850.0,46945.27,46882.49,468.8249
